City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Yamethin,MM,2022-04-14 21:39:43,20.4333,96.15,78.17,59,40,7.87
229,Zhigansk,RU,2022-04-14 21:39:43,66.7697,123.3711,24.44,85,100,7.76
230,Sao Joao Da Barra,BR,2022-04-14 21:39:44,-21.6403,-41.0511,77.09,87,80,12.01
231,Malsch,DE,2022-04-14 21:39:44,48.8833,8.3333,59.58,87,99,1.43
232,Niquero,CU,2022-04-14 21:39:44,20.0431,-77.5828,82.26,68,31,10.42
233,Khandbari,NP,2022-04-14 21:39:45,27.3747,87.2039,68.0,44,7,6.02
234,Riobamba,EC,2022-04-14 21:39:45,-1.6667,-78.6333,64.76,63,75,17.27
235,Grindavik,IS,2022-04-14 21:39:45,63.8424,-22.4338,49.95,93,100,35.68
236,Milas,TR,2022-04-14 21:39:46,37.3164,27.7839,47.55,57,0,4.61
237,Lattes,FR,2022-04-14 21:39:46,43.5675,3.9046,62.06,60,0,3.44
238,Ancud,CL,2022-04-14 21:37:58,-41.8697,-73.8203,54.43,85,0,2.77
239,Varhaug,NO,2022-04-14 21:39:47,58.6147,5.6457,43.9,89,10,3.11
240,Fez,MA,2022-04-14 21:39:47,34.0372,-4.9998,55.65,94,20,8.05
241,Zhezkazgan,KZ,2022-04-14 21:39:47,47.8043,67.7144,56.05,35,2,8.97
242,Seoul,KR,2022-04-14 21:36:26,37.5683,126.9778,45.84,75,0,4.61
243,Sur,OM,2022-04-14 21:39:48,22.5667,59.5289,85.55,41,27,11.65
244,Katsuura,JP,2022-04-14 21:37:52,35.1333,140.3,54.07,94,100,17.69
245,Dalby,AU,2022-04-14 21:37:59,-27.1833,151.2667,63.72,70,0,11.16
246,Regina,CA,2022-04-14 21:38:35,50.4501,-104.6178,20.03,80,100,24.16
247,Husum,DE,2022-04-14 21:39:49,54.4858,9.0524,48.15,91,100,9.51
248,Flinders,AU,2022-04-14 21:39:49,-34.5833,150.8552,60.39,88,48,4.92
249,Buchanan,LR,2022-04-14 21:39:49,5.8808,-10.0467,79.83,88,93,7.67
250,Charters Towers,AU,2022-04-14 21:39:50,-20.1,146.2667,70.77,74,38,12.03
251,Beloha,MG,2022-04-14 21:39:50,-25.1667,45.05,75.0,79,80,5.82
252,Lavrentiya,RU,2022-04-14 21:37:59,65.5833,-171.0,32.61,99,100,9.55
253,Labrea,BR,2022-04-14 21:39:50,-7.2586,-64.7981,74.97,98,100,2.08
254,Sopelana,ES,2022-04-14 21:38:25,43.3789,-2.9831,57.81,85,75,3.44
255,Pundaguitan,PH,2022-04-14 21:39:51,6.3711,126.1689,80.76,78,54,6.02
256,Saint Anthony,US,2022-04-14 21:38:31,45.0205,-93.218,34.66,78,100,25.32
257,Kavieng,PG,2022-04-14 21:39:51,-2.5744,150.7967,83.14,76,67,11.74
258,Faanui,PF,2022-04-14 21:39:52,-16.4833,-151.75,82.44,71,24,19.17
259,Moyale,KE,2022-04-14 21:39:52,3.5167,39.0584,69.13,81,99,2.48
260,Marshall,US,2022-04-14 21:37:08,34.3834,-86.3333,70.32,44,0,12.66
261,Samarai,PG,2022-04-14 21:39:53,-10.6167,150.6667,83.41,74,97,12.33
262,Suntar,RU,2022-04-14 21:39:53,62.1444,117.6319,23.38,92,100,7.72
263,Novoagansk,RU,2022-04-14 21:39:53,61.9449,76.6625,38.03,99,100,6.87
264,Roald,NO,2022-04-14 21:39:54,62.5833,6.1333,44.33,75,0,11.5
265,Canon City,US,2022-04-14 21:37:34,38.441,-105.2424,65.17,11,0,13.8
266,Belyy Yar,RU,2022-04-14 21:39:54,53.6039,91.3903,29.86,69,0,4.47
267,Kaitangata,NZ,2022-04-14 21:39:54,-46.2817,169.8464,55.2,70,12,4.68
268,Karratha,AU,2022-04-14 21:39:55,-20.7377,116.8463,86.92,29,64,13.0
269,Cremona,IT,2022-04-14 21:39:55,45.2333,9.9333,61.48,73,14,4.54
270,Nome,US,2022-04-14 21:39:55,64.5011,-165.4064,38.1,75,100,10.36
271,Vanavara,RU,2022-04-14 21:39:56,60.34,102.2797,32.04,96,100,4.9
272,Waipawa,NZ,2022-04-14 21:36:50,-41.4122,175.5153,53.33,56,27,2.66
273,Praia Da Vitoria,PT,2022-04-14 21:36:02,38.7333,-27.0667,62.85,82,75,20.54
274,Valdivia,CL,2022-04-14 21:40:56,-39.8142,-73.2459,68.09,80,0,2.39
275,Qinzhou,CN,2022-04-14 21:40:57,21.95,108.6167,73.26,88,6,5.59
